latitude,longitude,same_day_top_rank,same_day_brand,day_%_value
41.720002,-87.776479,1,Walgreens,8
41.720002,-87.776479,2,McDonald's,8
41.720002,-87.776479,4,Starbucks,5
40.632769,-74.305092,4,7-Eleven,5
40.906878,-74.553278,2,Target,11
40.906878,-74.553278,4,Walmart,8
35.586707,-82.58743,2,McDonald's,6
35.586707,-82.58743,4,Starbucks,4
41.66228,-81.240635,1,McDonald's,7
41.66228,-81.240635,2,Walmart,5
41.66228,-81.240635,3,Starbucks,3
42.26449,-88.980621,1,Walmart,7
42.26449,-88.980621,2,McDonald's,5
42.26449,-88.980621,3,Target,5
28.078442,-80.647515,1,Walmart,9
28.078442,-80.647515,2,McDonald's,9
28.078442,-80.647515,3,Wawa,8
28.078442,-80.647515,4,7-Eleven,5
36.126472,-97.053388,1,Walmart,14
36.126472,-97.053388,2,Chick-fil-A,7
25.589608,-80.358702,1,McDonald's,6
25.589608,-80.358702,2,Walmart,5
25.589608,-80.358702,3,Starbucks,5
40.734249,-73.98883,1,Starbucks,5
40.734249,-73.98883,2,Dunkin',4
40.734249,-73.98883,3,Target,2
40.734249,-73.98883,4,McDonald's,2
38.770636,-77.082257,1,McDonald's,10
38.770636,-77.082257,2,Walmart,9
38.770636,-77.082257,3,7-Eleven,8
38.770636,-77.082257,4,Shell Oil,6
26.934231,-80.130647,1,Walmart,5
26.934231,-80.130647,2,McDonald's,4
26.934231,-80.130647,3,Starbucks,4
25.769278,-80.359828,2,Walmart,5
25.769278,-80.359828,3,McDonald's,5
39.562076,-76.971639,1,Wawa,9
39.562076,-76.971639,2,Chick-fil-A,8
39.562076,-76.971639,3,McDonald's,8
40.739225,-96.679444,2,Walmart,5
40.739225,-96.679444,4,McDonald's,4
27.037403,-82.21618,1,Walmart,19
27.037403,-82.21618,3,McDonald's,6
27.037403,-82.21618,4,Starbucks,5
27.037403,-82.21618,2,Walmart,11
38.923724,-77.052,1,McDonald's,14
33.855531,-84.5993,2,Walmart,15
33.855531,-84.5993,3,McDonald's,13
27.387623,-82.458131,1,Target,16
27.387623,-82.458131,4,Starbucks,6
39.360216,-84.460196,2,McDonald's,11
39.360216,-84.460196,4,Walmart,3
41.628867,-93.697242,2,Walmart,9
41.628867,-93.697242,3,McDonald's,8
41.628867,-93.697242,4,Target,5
39.412702,-76.772287,1,McDonald's,15
39.412702,-76.772287,2,Chick-fil-A,13
39.412702,-76.772287,3,Walmart,10
41.885576,-87.635232,1,Dunkin',6
41.885576,-87.635232,2,7-Eleven,4
41.885576,-87.635232,3,McDonald's,3
33.002131,-96.767114,1,Walmart,15
33.002131,-96.767114,2,McDonald's,14
33.002131,-96.767114,3,Starbucks,9
33.002131,-96.767114,4,7-Eleven,6
28.520946,-81.586778,1,Target,11
28.520946,-81.586778,3,McDonald's,7
28.520946,-81.586778,4,Walmart,6
39.416484,-77.437964,1,Walmart,5
39.416484,-77.437964,2,McDonald's,4
39.416484,-77.437964,4,Wawa,3
26.283488,-80.202644,2,Walmart,6
26.283488,-80.202644,3,Target,6
26.283488,-80.202644,4,McDonald's,6
39.764487,-89.704356,3,McDonald's,11
39.764487,-89.704356,4,Walmart,9
38.947407,-92.300055,1,Walmart,12
38.947407,-92.300055,2,McDonald's,7
39.204021,-84.368016,2,McDonald's,7
40.622072,-74.026709,1,McDonald's,6
40.622072,-74.026709,2,Dunkin',4
40.622072,-74.026709,4,Starbucks,4
40.27354,-111.678715,1,Walmart,8
40.27354,-111.678715,4,McDonald's,5
39.845579,-84.192831,2,Walmart,10
39.845579,-84.192831,3,McDonald's,9
42.171623,-88.335883,1,Walmart,7
42.171623,-88.335883,2,Target,7
42.171623,-88.335883,3,McDonald's,7
41.551196,-87.180865,1,McDonald's,12
41.551196,-87.180865,2,Walmart,8
29.546262,-95.750284,4,Shell Oil,22
41.373959,-83.624627,1,McDonald's,8
41.373959,-83.624627,2,Walmart,8
41.373959,-83.624627,3,Starbucks,4
30.141237,-81.546351,1,McDonald's,8
30.141237,-81.546351,3,Walmart,7
30.141237,-81.546351,1,Walmart,11
30.141237,-81.546351,2,McDonald's,7
47.705,-122.326616,3,Starbucks,5
26.648224,-80.146188,1,Walmart,6
26.648224,-80.146188,2,McDonald's,5
33.882403,-84.010515,3,Chick-fil-A,7
33.882403,-84.010515,4,McDonald's,6
41.758677,-87.94432,3,Target,5
42.011392,-87.762841,1,Starbucks,7
42.011392,-87.762841,2,McDonald's,6
42.011392,-87.762841,4,Walmart,4
45.303136,-122.766208,1,McDonald's,10
45.303136,-122.766208,3,Starbucks,8
45.303136,-122.766208,4,Target,6
38.851175,-94.817544,1,McDonald's,11
38.851175,-94.817544,3,Walmart,9
38.851175,-94.817544,4,Target,9
39.153228,-77.066173,1,McDonald's,13
39.153228,-77.066173,2,Chick-fil-A,10
35.830609,-83.572937,2,Walmart,9
35.830609,-83.572937,3,Shell Oil,8
35.830609,-83.572937,4,McDonald's,8
41.920557,-88.265905,1,Target,10
41.920557,-88.265905,2,Walmart,7
41.920557,-88.265905,3,McDonald's,7
40.139536,-74.060895,1,Starbucks,6
40.139536,-74.060895,2,Target,4
28.66124,-81.396683,1,McDonald's,10
28.66124,-81.396683,2,Chick-fil-A,8
28.66124,-81.396683,3,Wawa,7
36.144763,-115.297403,2,Starbucks,6
36.144763,-115.297403,3,McDonald's,6
30.173647,-81.627796,1,Walmart,10
42.744038,-71.156588,2,Walmart,12
42.744038,-71.156588,3,Target,12
42.744038,-71.156588,4,Chick-fil-A,12
40.540914,-74.366081,2,McDonald's,4
40.540914,-74.366081,3,Dunkin',3
34.242669,-77.828314,1,Chick-fil-A,8
34.242669,-77.828314,2,Walmart,6
34.242669,-77.828314,3,McDonald's,5
40.038366,-82.429939,1,Walmart,5
40.038366,-82.429939,3,McDonald's,4
40.038366,-82.429939,4,Target,3
39.260603,-84.79342,2,McDonald's,8
30.482037,-90.459484,1,Walmart,17
28.514251,-81.311075,1,Walmart,10
28.514251,-81.311075,2,Wawa,9
28.514251,-81.311075,3,McDonald's,9
28.514251,-81.311075,4,Starbucks,8
38.652783,-77.286052,2,McDonald's,6
38.652783,-77.286052,3,Chick-fil-A,6
35.348785,-80.857777,1,Chick-fil-A,8
35.348785,-80.857777,2,McDonald's,7
35.348785,-80.857777,3,Target,6
35.348785,-80.857777,4,Walmart,6
29.7797,-94.977222,1,Walmart,10
29.7797,-94.977222,2,McDonald's,7
29.7797,-94.977222,4,Target,6
39.854879,-82.825124,1,Walmart,10
39.854879,-82.825124,2,McDonald's,7
41.868009,-87.64108,1,Starbucks,7
41.868009,-87.64108,3,Dunkin',5
41.868009,-87.64108,4,Walgreens,4
39.969946,-74.914134,1,Target,10
39.969946,-74.914134,2,Wawa,8
39.969946,-74.914134,4,Chick-fil-A,7
41.801637,-88.172366,2,McDonald's,6
41.801637,-88.172366,4,Starbucks,5
41.801637,-88.172366,1,Target,15
41.801637,-88.172366,2,McDonald's,5
41.801637,-88.172366,3,Walgreens,5
28.332102,-81.532711,1,Walmart,11
41.462861,-81.480623,1,McDonald's,7
41.462861,-81.480623,3,Starbucks,6
41.945739,-87.709057,2,McDonald's,8
41.945739,-87.709057,3,Shell Oil,5
41.945739,-87.709057,4,Target,5
26.25412,-81.800212,1,Walmart,6
26.25412,-81.800212,2,McDonald's,5
26.25412,-81.800212,4,Target,3
39.186788,-75.536508,1,Wawa,9
39.186788,-75.536508,2,Walmart,8
39.186788,-75.536508,3,Chick-fil-A,8
39.186788,-75.536508,4,McDonald's,3
28.063605,-82.503362,1,Walmart,8
28.063605,-82.503362,2,Shell Oil,5
42.626401,-82.987868,1,McDonald's,5
42.626401,-82.987868,3,Target,4
30.101665,-81.715514,1,Walmart,11
30.101665,-81.715514,2,McDonald's,8
30.101665,-81.715514,3,Shell Oil,8
30.101665,-81.715514,4,Target,6
40.580844,-83.083076,1,McDonald's,13
40.580844,-83.083076,2,Walmart,13
40.580844,-83.083076,4,Starbucks,6
38.963517,-94.665848,2,Walmart,9
38.963517,-94.665848,3,Starbucks,6
38.963517,-94.665848,4,McDonald's,6
34.793535,-92.400394,1,Walmart,8
34.793535,-92.400394,2,Chick-fil-A,8
28.593631,-81.365321,1,Walmart,6
28.593631,-81.365321,2,Walgreens,4
28.593631,-81.365321,3,Starbucks,4
28.593631,-81.365321,4,Chick-fil-A,4
42.295414,-85.655212,3,McDonald's,7
42.295414,-85.655212,4,Starbucks,6
45.534179,-122.658355,1,Starbucks,10
45.534179,-122.658355,2,McDonald's,8
45.534179,-122.658355,4,Shell Oil,5
39.087094,-84.477958,3,Target,6
39.087094,-84.477958,4,Chick-fil-A,4
37.678717,-97.245015,2,Walmart,8
37.678717,-97.245015,3,McDonald's,5
41.562531,-93.799381,2,Walmart,7
41.562531,-93.799381,4,McDonald's,5
29.660793,-95.719386,1,Target,5
29.660793,-95.719386,3,Starbucks,5
29.660793,-95.719386,4,Shell Oil,4
29.768399,-95.624127,1,Walmart,5
29.768399,-95.624127,2,Shell Oil,5
29.768399,-95.624127,3,McDonald's,3
38.897572,-77.443539,2,Target,8
38.897572,-77.443539,3,McDonald's,6
38.897572,-77.443539,4,Walmart,5
41.469078,-87.030094,1,Target,11
41.469078,-87.030094,3,Walmart,7
41.469078,-87.030094,4,McDonald's,6
41.513428,-72.106965,1,Walmart,14
41.513428,-72.106965,2,McDonald's,9
38.932156,-76.996472,3,Starbucks,6
38.932156,-76.996472,4,McDonald's,6
41.848465,-87.932279,1,McDonald's,9
41.848465,-87.932279,2,Starbucks,5
41.848465,-87.932279,3,Walgreens,5
42.015356,-71.231638,1,Dunkin',5
42.015356,-71.231638,2,Target,5
26.006785,-80.35632,1,Walmart,6
26.006785,-80.35632,2,McDonald's,4
39.381038,-84.54915,1,McDonald's,13
39.381038,-84.54915,2,Walmart,10
25.941295,-80.306455,1,McDonald's,10
25.941295,-80.306455,2,Walmart,8
41.548496,-83.600682,1,McDonald's,8
41.548496,-83.600682,2,Walmart,7
38.962019,-84.678418,2,McDonald's,6
38.962019,-84.678418,3,Starbucks,4
40.892454,-81.405156,2,McDonald's,5
40.892454,-81.405156,4,Starbucks,4
40.644189,-74.577273,1,Starbucks,7
40.644189,-74.577273,2,Dunkin',4
42.017612,-93.610966,1,Walmart,8
42.017612,-93.610966,3,Target,5
42.104761,-87.814236,1,Target,13
42.104761,-87.814236,3,McDonald's,5
26.191566,-80.252629,1,McDonald's,9
26.191566,-80.252629,2,Walmart,7
28.095835,-81.974729,1,Walmart,9
28.095835,-81.974729,2,McDonald's,9
28.095835,-81.974729,3,Chick-fil-A,7
28.095835,-81.974729,4,Starbucks,5
45.43777,-122.829271,2,Starbucks,6
45.43777,-122.829271,3,Target,5
45.43777,-122.829271,1,Starbucks,9
45.43777,-122.829271,2,McDonald's,8
45.43777,-122.829271,4,Walmart,5
27.939654,-82.483391,1,Starbucks,12
27.939654,-82.483391,4,McDonald's,5
41.814541,-71.496456,1,Dunkin',7
39.001421,-84.652758,2,Walmart,8
25.478969,-80.441953,2,Walmart,8
25.478969,-80.441953,3,McDonald's,8
45.534836,-122.877334,1,Starbucks,7
45.534836,-122.877334,2,Target,5
45.534836,-122.877334,3,McDonald's,4
39.003568,-94.629873,2,Starbucks,7
39.003568,-94.629873,3,McDonald's,4
39.003568,-94.629873,4,Target,3
37.111904,-113.554444,1,Walmart,6
37.111904,-113.554444,3,Target,4
39.856148,-105.082459,1,Starbucks,6
39.856148,-105.082459,2,McDonald's,6
39.856148,-105.082459,3,Walmart,5
42.104767,-87.814034,1,Starbucks,7
42.104767,-87.814034,2,Walgreens,3
42.104767,-87.814034,3,McDonald's,3
27.177999,-80.236066,1,Walmart,8
27.177999,-80.236066,1,Walmart,7
27.177999,-80.236066,3,Wawa,5
27.177999,-80.236066,4,McDonald's,5
35.586707,-82.58743,1,McDonald's,12
35.586707,-82.58743,2,Starbucks,8
35.586707,-82.58743,3,Walmart,7
35.586707,-82.58743,4,Target,7
42.040255,-88.033702,4,McDonald's,9
31.770991,-106.374674,2,Walmart,11
31.770991,-106.374674,3,Walgreens,7
31.770991,-106.374674,4,McDonald's,5
37.653677,-113.084663,1,Walmart,19
37.653677,-113.084663,4,Starbucks,6
41.13539,-81.637778,2,Walmart,8
41.13539,-81.637778,3,McDonald's,8
41.13539,-81.637778,4,Chick-fil-A,6
25.769278,-80.359828,1,Target,11
25.769278,-80.359828,2,McDonald's,7
25.769278,-80.359828,4,Walmart,4
40.781858,-74.191747,2,McDonald's,7
40.781858,-74.191747,3,Dunkin',5
42.565909,-87.920878,2,McDonald's,10
42.565909,-87.920878,4,Target,8
29.652265,-82.341511,1,Starbucks,10
29.652265,-82.341511,2,Chick-fil-A,7
30.19636,-81.829912,1,McDonald's,12
30.19636,-81.829912,2,Chick-fil-A,9
30.19636,-81.829912,3,Target,8
45.383057,-122.748234,2,Walmart,4
45.383057,-122.748234,3,Starbucks,4
41.905879,-87.985575,1,McDonald's,5
41.905879,-87.985575,2,Walmart,5
41.905879,-87.985575,3,Starbucks,4
39.989006,-75.009649,1,Wawa,9
39.989006,-75.009649,2,Walmart,6
39.989006,-75.009649,3,Dunkin',6
39.989006,-75.009649,4,McDonald's,5
30.504473,-84.249684,1,Shell Oil,10
30.504473,-84.249684,2,Walmart,7
30.504473,-84.249684,3,Target,6
30.504473,-84.249684,4,Chick-fil-A,5
29.673663,-82.338682,1,Walmart,7
29.673663,-82.338682,2,Shell Oil,6
29.673663,-82.338682,1,Walmart,7
29.673663,-82.338682,2,McDonald's,7
29.673663,-82.338682,4,Starbucks,5
29.673663,-82.338682,1,McDonald's,8
29.673663,-82.338682,2,Starbucks,8
29.673663,-82.338682,3,Wawa,5
41.568073,-87.636945,1,McDonald's,15
41.568073,-87.636945,2,Walmart,9
41.568073,-87.636945,3,Walgreens,6
39.037611,-84.454724,2,McDonald's,6
39.037611,-84.454724,3,Walmart,5
32.923617,-96.898811,1,McDonald's,10
32.923617,-96.898811,2,Walmart,8
32.923617,-96.898811,4,Starbucks,6
40.134297,-74.223033,2,Wawa,15
40.134297,-74.223033,4,Walmart,5
40.718646,-74.329485,1,Walgreens,5
40.718646,-74.329485,2,Target,4
40.718646,-74.329485,3,Starbucks,4
40.803182,-74.021265,1,Target,13
40.803182,-74.021265,2,Walmart,11
40.803182,-74.021265,4,Dunkin',9
39.204021,-84.368016,4,McDonald's,6
39.845579,-84.192831,1,Walmart,12
39.845579,-84.192831,2,McDonald's,10
42.171623,-88.335883,1,Target,7
42.171623,-88.335883,3,Starbucks,6
29.809985,-95.162528,1,Walmart,12
29.809985,-95.162528,3,Chick-fil-A,9
29.809985,-95.162528,1,Walmart,12
29.809985,-95.162528,3,Chick-fil-A,8
29.809985,-95.162528,4,Shell Oil,6
43.677545,-70.329691,2,Dunkin',11
43.677545,-70.329691,3,McDonald's,10
43.677545,-70.329691,4,Walmart,8
43.585321,-84.768095,3,Walmart,11
43.585321,-84.768095,4,McDonald's,10
41.497605,-72.808776,1,Chick-fil-A,10
41.497605,-72.808776,3,Dunkin',7
41.497605,-72.808776,4,McDonald's,6
29.665722,-95.187698,1,McDonald's,9
29.665722,-95.187698,2,Chick-fil-A,8
29.665722,-95.187698,3,Walmart,7
33.882403,-84.010515,2,Walmart,8
33.882403,-84.010515,3,Chick-fil-A,6
38.920869,-76.993996,1,McDonald's,12
41.173886,-87.852172,1,Walmart,12
41.173886,-87.852172,2,Target,10
41.173886,-87.852172,3,McDonald's,8
29.503412,-95.042801,2,McDonald's,6
29.503412,-95.042801,3,Chick-fil-A,5
37.667197,-77.458877,1,Chick-fil-A,11
37.667197,-77.458877,2,McDonald's,8
37.667197,-77.458877,3,Wawa,8
43.224525,-71.490088,2,Target,9
43.224525,-71.490088,3,McDonald's,8
43.224525,-71.490088,4,Walmart,7
43.224525,-71.490088,1,Target,11
43.224525,-71.490088,2,Walmart,9
43.224525,-71.490088,4,Dunkin',8
43.224525,-71.490088,1,Dunkin',10
43.224525,-71.490088,2,Walmart,8
43.224525,-71.490088,3,Target,7
43.224525,-71.490088,4,McDonald's,6
32.811167,-96.624498,1,Walmart,12
32.811167,-96.624498,2,McDonald's,11
32.811167,-96.624498,4,Chick-fil-A,7
29.564597,-95.562689,1,Walmart,6
29.564597,-95.562689,2,Chick-fil-A,5
29.564597,-95.562689,3,Shell Oil,4
29.564597,-95.562689,4,Target,4
42.359946,-88.26649,1,McDonald's,13
42.359946,-88.26649,2,Walmart,12
42.359946,-88.26649,4,Starbucks,4
42.366089,-89.023486,3,McDonald's,33
45.486854,-122.773631,2,Walmart,7
44.448579,-73.208055,1,Starbucks,7
44.448579,-73.208055,3,McDonald's,5
44.448579,-73.208055,4,Shell Oil,4
28.66124,-81.396683,1,7-Eleven,8
28.66124,-81.396683,2,McDonald's,8
28.66124,-81.396683,3,Chick-fil-A,7
28.66124,-81.396683,4,Walmart,6
36.144763,-115.297403,1,Starbucks,7
36.144763,-115.297403,3,McDonald's,5
36.144763,-115.297403,4,Target,4
36.144763,-115.297403,2,McDonald's,6
36.144763,-115.297403,3,Walmart,6
36.144763,-115.297403,4,Starbucks,5
35.123228,-106.701282,1,Walmart,12
35.123228,-106.701282,2,McDonald's,11
35.123228,-106.701282,3,Chick-fil-A,7
40.813127,-96.640107,2,Walmart,4
40.813127,-96.640107,3,Target,3
40.813127,-96.640107,4,McDonald's,2
42.28397,-87.95384,1,McDonald's,5
42.28397,-87.95384,3,Walmart,4
35.876671,-78.85064,1,Walmart,11
35.876671,-78.85064,3,Chick-fil-A,7
35.876671,-78.85064,4,Target,5
29.7797,-94.977222,1,Walmart,12
29.7797,-94.977222,3,McDonald's,8
27.893447,-82.505855,1,Chick-fil-A,13
27.893447,-82.505855,2,Walmart,6
27.893447,-82.505855,3,Wawa,6
27.893447,-82.505855,4,Shell Oil,6
35.760382,-78.740899,1,Target,10
35.760382,-78.740899,2,Walmart,8
35.760382,-78.740899,3,Chick-fil-A,8
35.760382,-78.740899,4,McDonald's,7
40.432075,-111.8884,2,Walmart,8
40.432075,-111.8884,3,Chick-fil-A,8
40.432075,-111.8884,4,McDonald's,6
43.130535,-89.305766,2,McDonald's,7
43.130535,-89.305766,3,Walmart,4
41.462861,-81.480623,1,Starbucks,7
41.462861,-81.480623,2,McDonald's,7
41.659086,-81.377147,2,Starbucks,7
38.732708,-77.547501,1,Chick-fil-A,7
38.732708,-77.547501,2,Target,7
45.527475,-122.815572,1,McDonald's,9
45.527475,-122.815572,2,Starbucks,7
45.527475,-122.815572,4,Walmart,4
45.420562,-122.739291,1,Starbucks,9
45.420562,-122.739291,2,McDonald's,5
45.420562,-122.739291,3,Shell Oil,5
35.806993,-78.815193,1,Target,12
27.432723,-82.425433,1,Starbucks,7
27.432723,-82.425433,2,Wawa,7
27.432723,-82.425433,3,7-Eleven,6
27.432723,-82.425433,4,Walmart,6
42.626401,-82.987868,1,McDonald's,7
40.861834,-74.387708,1,Starbucks,6
40.861834,-74.387708,2,Walmart,5
40.861834,-74.387708,3,Target,4
39.631689,-79.954503,2,Starbucks,6
39.631689,-79.954503,4,Chick-fil-A,5
32.836184,-97.132823,1,Walmart,12
32.836184,-97.132823,3,Starbucks,6
32.836184,-97.132823,4,McDonald's,5
39.764036,-104.774683,1,Walmart,15
39.764036,-104.774683,3,Chick-fil-A,8
35.188711,-101.866839,1,Walmart,13
35.188711,-101.866839,1,Walmart,13
28.014693,-82.734446,1,Walmart,6
28.014693,-82.734446,2,Chick-fil-A,4
28.014693,-82.734446,3,Starbucks,4
42.382993,-88.063459,1,Walmart,11
42.382993,-88.063459,3,McDonald's,5
38.243162,-85.508772,3,Target,6
38.243162,-85.508772,4,Walmart,5
35.068526,-78.967151,1,Walmart,13
35.068526,-78.967151,2,McDonald's,12
35.068526,-78.967151,3,Chick-fil-A,7
28.800063,-81.333639,1,Walmart,8
28.800063,-81.333639,2,Target,7
28.800063,-81.333639,3,7-Eleven,4
41.881173,-87.635066,2,Dunkin',5
41.881173,-87.635066,3,Starbucks,5
41.881173,-87.635066,4,McDonald's,5
40.562556,-111.890458,1,Walmart,10
40.562556,-111.890458,2,Target,7
40.562556,-111.890458,3,McDonald's,6
43.048402,-87.904516,1,McDonald's,17
43.048402,-87.904516,4,Starbucks,9
41.525367,-87.47057,1,Walmart,5
41.525367,-87.47057,3,Target,4
40.499072,-74.645239,1,Starbucks,6
40.499072,-74.645239,2,Dunkin',4
40.499072,-74.645239,3,Walmart,3
39.096501,-77.192668,1,Starbucks,4
39.096501,-77.192668,3,Target,3
39.096501,-77.192668,4,McDonald's,3
40.766064,-73.982923,1,Starbucks,6
40.766064,-73.982923,2,McDonald's,6
32.441374,-93.718253,1,Walmart,10
32.441374,-93.718253,2,Target,7
32.441374,-93.718253,3,Chick-fil-A,5
40.482596,-88.952229,1,Walmart,8
40.482596,-88.952229,2,Chick-fil-A,5
35.787669,-78.666807,2,Chick-fil-A,6
35.787669,-78.666807,3,Target,4
34.303259,-83.858695,1,Chick-fil-A,11
34.303259,-83.858695,2,Walmart,7
34.303259,-83.858695,3,McDonald's,7
28.346387,-81.486209,2,Walmart,10
28.346387,-81.486209,4,7-Eleven,7
44.073404,-123.043198,1,Target,10
44.073404,-123.043198,3,McDonald's,9
44.073404,-123.043198,4,Starbucks,6
30.206294,-95.463572,1,Walmart,9
30.206294,-95.463572,2,Chick-fil-A,6
30.206294,-95.463572,3,Starbucks,5
47.613549,-122.199857,1,Starbucks,6
47.613549,-122.199857,2,Shell Oil,2
47.613549,-122.199857,3,McDonald's,2
38.929706,-77.032435,1,Chick-fil-A,7
38.929706,-77.032435,2,McDonald's,5
38.929706,-77.032435,3,Target,5
38.929706,-77.032435,4,Starbucks,5
35.088106,-80.85093,1,McDonald's,11
35.088106,-80.85093,2,Chick-fil-A,6
35.088106,-80.85093,4,Starbucks,3
30.394432,-90.092105,1,Walmart,6
30.394432,-90.092105,3,McDonald's,5
30.394432,-90.092105,4,Shell Oil,5
43.094114,-70.800624,1,Walmart,9
43.094114,-70.800624,4,McDonald's,5
27.310687,-80.406444,1,Walmart,10
27.310687,-80.406444,2,McDonald's,8
27.310687,-80.406444,4,Wawa,5
41.651217,-88.204282,1,Walmart,100
38.883266,-76.995262,1,McDonald's,14
38.883266,-76.995262,2,7-Eleven,11
40.892454,-81.405156,1,McDonald's,8
40.892454,-81.405156,3,Starbucks,6
30.223884,-85.87221,1,Walmart,14
30.223884,-85.87221,2,Target,7
30.223884,-85.87221,3,McDonald's,7
30.223884,-85.87221,4,Chick-fil-A,4
30.26866,-89.75963,1,Walmart,11
30.26866,-89.75963,3,McDonald's,10
30.26866,-89.75963,1,Walmart,14
30.26866,-89.75963,2,McDonald's,6
30.26866,-89.75963,4,Starbucks,5
38.970491,-94.772718,1,Starbucks,8
38.970491,-94.772718,2,McDonald's,8
40.058895,-74.142267,1,Wawa,7
40.058895,-74.142267,3,Target,6
27.337166,-82.463298,1,Target,8
27.337166,-82.463298,2,Walmart,6
27.337166,-82.463298,4,Chick-fil-A,4
39.563245,-84.265253,1,McDonald's,10
39.563245,-84.265253,2,Walmart,10
37.738154,-97.245337,1,Walmart,10
37.738154,-97.245337,3,McDonald's,8
30.481446,-81.637517,1,Walmart,9
30.481446,-81.637517,2,Chick-fil-A,9
30.481446,-81.637517,3,McDonald's,8
30.481446,-81.637517,4,Starbucks,6
41.638018,-72.873363,1,Dunkin',10
41.638018,-72.873363,2,Chick-fil-A,6
41.638018,-72.873363,3,McDonald's,5
42.00758,-87.885512,1,Target,11
42.00758,-87.885512,2,McDonald's,7
42.16716,-87.844253,1,Starbucks,7
42.16716,-87.844253,2,Walgreens,6
42.16716,-87.844253,4,McDonald's,5
28.054846,-82.429872,1,Walmart,9
28.054846,-82.429872,2,McDonald's,7
38.049163,-78.503683,1,McDonald's,10
38.049163,-78.503683,2,Walmart,6
38.049163,-78.503683,4,Chick-fil-A,5
40.504303,-88.99499,1,McDonald's,8
40.504303,-88.99499,2,Walmart,5
41.748829,-88.115124,1,McDonald's,11
41.748829,-88.115124,2,Starbucks,5
39.021001,-77.011919,3,McDonald's,5
39.021001,-77.011919,4,Starbucks,4
31.889476,-102.350329,2,Chick-fil-A,9
31.889476,-102.350329,3,McDonald's,7
41.720002,-87.776479,1,McDonald's,13
41.720002,-87.776479,2,Starbucks,5
41.720002,-87.776479,4,Chick-fil-A,5
25.957689,-80.143122,2,Walmart,4
25.957689,-80.143122,3,McDonald's,3
41.709329,-93.580774,1,Walmart,13
41.709329,-93.580774,3,Target,8
40.632769,-74.305092,1,Dunkin',10
40.632769,-74.305092,3,McDonald's,4
42.040255,-88.033702,3,McDonald's,5
42.040255,-88.033702,4,Starbucks,5
41.157891,-95.934722,1,Walmart,18
41.157891,-95.934722,2,McDonald's,6
41.157891,-95.934722,3,Target,5
41.157891,-95.934722,4,Starbucks,4
40.608486,-73.959302,1,Dunkin',3
40.608486,-73.959302,3,McDonald's,2
30.358659,-97.73465,1,Shell Oil,5
30.358659,-97.73465,4,Walmart,3
35.966171,-78.544122,1,Target,8
35.966171,-78.544122,2,McDonald's,7
35.966171,-78.544122,3,Chick-fil-A,5
35.966171,-78.544122,4,Walmart,5
45.383057,-122.748234,2,Target,4
45.383057,-122.748234,4,Starbucks,4
42.178606,-70.909452,1,Dunkin',9
42.178606,-70.909452,2,McDonald's,6
30.319323,-81.555016,1,Walmart,11
30.319323,-81.555016,2,Chick-fil-A,4
